Video,Frame,PSNR,SSIM,MSE,RMSE,MAE,NRMSE,Correlation,GMS,Edge_Similarity,LPIPS,VMAF
4Mbit_Loss1_Fortnite,70,16.003000,0.661352,1632.226202,40.400819,23.042744,0.433460,0.696426,0.512719,0.137635,0.511464,0.000000
4Mbit_Loss1_Fortnite,71,16.028078,0.667266,1622.828421,40.284345,22.938807,0.432749,0.698365,0.516852,0.138760,0.513036,0.000000
4Mbit_Loss1_Fortnite,72,16.048361,0.668746,1615.266890,40.190383,22.874241,0.433832,0.699821,0.520832,0.140908,0.507415,0.000000
4Mbit_Loss1_Fortnite,73,16.092215,0.665806,1599.038330,39.987977,22.835302,0.432625,0.701655,0.520197,0.139263,0.508206,0.000000
4Mbit_Loss1_Fortnite,74,16.128160,0.666388,1585.858050,39.822833,22.741730,0.432033,0.704596,0.525542,0.142333,0.496676,0.873015
4Mbit_Loss1_Fortnite,75,16.131668,0.666351,1584.577736,39.806755,22.698424,0.432480,0.704996,0.522972,0.141828,0.504682,0.764880
4Mbit_Loss1_Fortnite,76,16.154516,0.667811,1576.263172,39.702181,22.633911,0.432111,0.707862,0.524834,0.143616,0.497765,1.765665
4Mbit_Loss1_Fortnite,77,16.173378,0.670247,1569.432274,39.616061,22.562614,0.432142,0.712825,0.522426,0.143245,0.506485,3.871354
4Mbit_Loss1_Fortnite,78,16.169000,0.667287,1571.015236,39.636035,22.677912,0.434928,0.716810,0.525076,0.142308,0.501121,3.238392
4Mbit_Loss1_Fortnite,79,15.605420,0.571733,1788.703343,42.293065,25.162549,0.467456,0.682875,0.497766,0.088361,0.545302,5.395094
4Mbit_Loss1_Fortnite,80,15.226511,0.567745,1951.772872,44.178874,26.670529,0.492492,0.661107,0.485517,0.088935,0.570031,0.442791
4Mbit_Loss1_Fortnite,81,14.487700,0.526821,2313.717738,48.101120,30.222831,0.547193,0.603479,0.473123,0.075510,0.621870,0.023256
4Mbit_Loss1_Fortnite,82,14.371468,0.552373,2376.476735,48.749120,30.529160,0.569142,0.603099,0.493417,0.104050,0.611959,2.503709
4Mbit_Loss1_Fortnite,83,14.107916,0.565374,2525.159342,50.250964,31.185264,0.603275,0.576176,0.496993,0.117129,0.610358,2.134436
4Mbit_Loss1_Fortnite,84,14.249892,0.591025,2443.943665,49.436259,29.725492,0.626578,0.557526,0.509354,0.129213,0.603759,3.772957
4Mbit_Loss1_Fortnite,85,14.352436,0.618688,2386.914000,48.856054,28.696338,0.667521,0.505139,0.501921,0.138603,0.578470,4.972778
4Mbit_Loss1_Fortnite,86,14.387573,0.650520,2367.680393,48.658816,27.736050,0.695558,0.483739,0.505576,0.156767,0.544011,6.787621
