ID,command,encrypted_cmd
157,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': -1}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},12831f9baf9a77cb2287f53208a4101f34fe0bc616765dc663f68d24fe7d74ef5dec5484f71bd3afd40a8d6e8d
161,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': -1}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},12831f9baf9a77cb2287f53208a4101f34fe0bc616765dc663f68d24fe7d74ef5dec5484f71bd3afd40a8d6e8d
165,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': -1}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},d218d3b2b9c52818d4c73b55b62189827c35ab98b1576fdbf2e0fcaa1dff648cec22cc845e4fa1ffaa78c3e451
165,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': -1}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},d218d3b2b9c52818d4c73b55b62189827c35ab98b1576fdbf2e0fcaa1dff648cec22cc845e4fa1ffaa78c3e451
169,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},93d898cdc1f39b799e7daca29b42a481778734b09c3e3f65b866d523ec927f0bad0684e54fa67fecfecd8b43c0
169,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},93d898cdc1f39b799e7daca29b42a481778734b09c3e3f65b866d523ec927f0bad0684e54fa67fecfecd8b43c0
173,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},93d898cdc1f39b799e7daca29b42a481778734b09c3e3f65b866d523ec927f0bad0684e54fa67fecfecd8b43c0
177,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},93d898cdc1f39b799e7daca29b42a481778734b09c3e3f65b866d523ec927f0bad0684e54fa67fecfecd8b43c0
181,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},93d898cdc1f39b799e7daca29b42a481778734b09c3e3f65b866d523ec927f0bad0684e54fa67fecfecd8b43c0
185,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},93d898cdc1f39b799e7daca29b42a481778734b09c3e3f65b866d523ec927f0bad0684e54fa67fecfecd8b43c0
189,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},93d898cdc1f39b799e7daca29b42a481778734b09c3e3f65b866d523ec927f0bad0684e54fa67fecfecd8b43c0
193,{'axes': {'0': 0.067657470703125, '1': 0.037811279296875, '2': -1.0, '3': 0.040313720703125, '4': 0.01092529296875, '5': -1.0, '6': -1, '7': 1}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},399addc4214159b281337763bc7c40424356ef45fbc9b9ec2ac5d3c24a0b9549c7c24ecf1eab2aadb312225caf
