ID,command,encrypted_cmd
82,{'axes': {'0': -1.0, '1': -0.197418212890625, '2': -1.0, '3': -1.0, '4': 0.25262451171875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},aa12ec9f73e97ec2ea676dc512c262315cea19d989685c01151b37d02aa4585f93b050bf2b2f44c2d024ee25fe
86,{'axes': {'0': -0.86590576171875, '1': -0.814239501953125, '2': -1.0, '3': 0.056060791015625, '4': 0.014617919921875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1af641502cd4ba4f11ed6c41fd8ef975da4be54b4e8703159015b74b9dedf4b5a46a7bb61b6a6cb8ebc06437c8
86,{'axes': {'0': -0.86590576171875, '1': -0.814239501953125, '2': -1.0, '3': 0.056060791015625, '4': 0.014617919921875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},1af641502cd4ba4f11ed6c41fd8ef975da4be54b4e8703159015b74b9dedf4b5a46a7bb61b6a6cb8ebc06437c8
90,{'axes': {'0': -0.33990478515625, '1': -1.0, '2': -1.0, '3': 0.039825439453125, '4': 0.024932861328125, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},d25098d4db2a8584e45f53ab93f999501b0c337a17ff6ab7fa6206d84d9fdfedaab64e133d68d3c96bda62c25d
90,{'axes': {'0': -0.33990478515625, '1': -1.0, '2': -1.0, '3': 0.039825439453125, '4': 0.024932861328125, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},d25098d4db2a8584e45f53ab93f999501b0c337a17ff6ab7fa6206d84d9fdfedaab64e133d68d3c96bda62c25d
94,{'axes': {'0': 0.489105224609375, '1': -1.0, '2': -1.0, '3': 0.039825439453125, '4': 0.024932861328125, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},cd55a93868b125c80595221c446ae18daa6da644ceec2f9a487f00a255d2d947fd9878c1d83ee0210fbf666d65
94,{'axes': {'0': 0.489105224609375, '1': -1.0, '2': -1.0, '3': 0.039825439453125, '4': 0.024932861328125, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},cd55a93868b125c80595221c446ae18daa6da644ceec2f9a487f00a255d2d947fd9878c1d83ee0210fbf666d65
98,{'axes': {'0': 0.8338623046875, '1': -0.80615234375, '2': -1.0, '3': 0.039825439453125, '4': 0.024932861328125, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},f7cfbf3eacae5437c39efba35a2029d7855c34682e01d57184519fbf6b119dba5accfdb85a52627d705c663073
98,{'axes': {'0': 0.8338623046875, '1': -0.80615234375, '2': -1.0, '3': 0.039825439453125, '4': 0.024932861328125, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 1, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},f7cfbf3eacae5437c39efba35a2029d7855c34682e01d57184519fbf6b119dba5accfdb85a52627d705c663073
102,{'axes': {'0': 0.062774658203125, '1': 0.33038330078125, '2': -1.0, '3': 0.039825439453125, '4': 0.035858154296875, '5': -1.0, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},305139c1d5ba70f33e58341d97034ad016d0b24d13323804e0014d06466c85723e6c47195e7bf3a34902b2d04c
