ID,command,encrypted_cmd
145,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
149,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
153,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
157,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
162,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
166,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
170,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
174,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
178,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
182,{'axes': {'0': 0.1112060546875, '1': 0.015106201171875, '2': -1.0, '3': 0.064361572265625, '4': -0.003265380859375, '5': 0.999969482421875, '6': 0, '7': 0}, 'buttons': {'0': 0, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 0, '8': 0, '9': 0, '10': 0}},e0ffdcd014520697fe8c07521c115f9e07adb36a572a9934bc86faccb3a762b622723677426ffd017166f664dd
